id,day,slot,category,title,summary,detail,CORRECTED_title,CORRECTED_summary,CORRECTED_detail,notes
schools-database-segmentation,monday,morning,targeting,Schools database: update key contacts,"Update the database of New Zealand schools that tells us who to talk to, and about what.","Keep the database of schools across New Zealand current: principals, roll size, region, school type. Whenever we plan outreach or a launch, it starts here. Which schools does this actually suit, and who at those schools should hear about it first? Done properly, a school hears from us about something relevant to them, not another generic vendor email.",,,,
sales-strategy-pipeline-review,monday,afternoon,pipeline,Sales pipeline review,"Go through every open opportunity: what is the next step, and is it real?","Sit down with the pipeline once a week and be honest about it. Some opportunities need a call, some need a proposal, some need to be parked because the school is not going to move this year. Doing that every week keeps the pipeline something I can plan the business around, not a list of hopeful names.",,,,
feature-launch-media,tuesday,morning,campaigns,New feature launch: media and promotion plan,Prepare the launch material for a new billable feature and plan how customers will hear about it.,"The platform has a new feature we can bill for, so build the launch around it: a one-pager, an email sequence, a short video showing what the feature does in a real school context, and a plan for which customers hear about it first. A feature only becomes revenue when schools understand what it does for them, so plan the promotion, the training and the pricing together as one piece of work.",,,,
network-building-partner-calls,tuesday,afternoon,pipeline,Teacher network and partner calls,Keep up the nationwide network of teachers and school leaders that most of our referrals come through.,"Run calls with the network of teachers and school leaders across the country who use it to share resources and ideas with each other. Keep the relationships genuine: help people with things that have nothing to sell attached. Most of our best introductions come from someone in that network mentioning us to a colleague, and that only happens if you are useful to people between sales.",,,,
renewal-board-prep,wednesday,morning,commercial,Contract renewal: prepare for a school board,Put together the case for a school board deciding whether to renew their contract.,"This schools contract is up for renewal and the decision sits with their board, so prepare for it properly. What has the school actually used? What has changed since they signed? What will the renewal cost, and why? A board deserves a clear, honest account, and renewals are where a business like this lives or dies. Never treat one as a formality.",,,,
proposals-and-eulas,wednesday,afternoon,pipeline,Proposals and licence agreements,Write the proposal and agreement that turn a good conversation into a signed customer.,"Write our proposals and end-user licence agreements myself. Shape each proposal to the school it is going to: their size, their situation, what they told me they are trying to fix, not something assembled from a template. The agreement side matters just as much. Clear terms up front mean fewer surprises later, for the school and for us.",,,,
lead-generation-hooks-assets,thursday,morning,measurement,Sales assets and lead generation review,"Check which of our materials are starting real conversations, and fix the ones that are not.","I make all of our sales material: presentations, demos, phone scripts, email sequences. Once it is in use, pay attention to what it actually produces. An asset generating downloads but no conversations gets rewritten or retired. The test is always the same: does this start a conversation with a school we genuinely suit?",,,,
marketing-automation-review,thursday,afternoon,campaigns,Email marketing and automation,Keep the automated email sequences matched to the schools they were written for.,"Our email sequences are written for particular school profiles, and they drift out of date quietly as those profiles change. Review the triggers, the timing and the hand-off points, so a principal gets messaging that fits their school and a real person picks up the conversation at the moment interest is highest.",,,,
renewal-board-presentation,friday,morning,pipeline,Present a renewal to a school board,Stand in front of a school’s board and make the case for another term.,"A board meeting is a different room from a staffroom. Governors want to know what the school got, what it costs, and why it is still the right choice, and they ask direct questions. Present the renewal case in person and answer plainly. In the end a renewal is won by everything the school experienced over the term, but it still has to be presented well in that room.",,,,
growth-metrics-conversion-tracking,friday,afternoon,measurement,Growth metrics and conversion tracking,"Track which kinds of schools become customers who stay, and put the effort there.","The useful question is never how many leads came in; it is which kinds of schools become customers who stay. Track that from first contact through to renewal. It tells us where to put effort next and what to stop spending time on, and it means that when I report to the board, the numbers have a story I can stand behind.",,,,
funded-programme-facilitation,monday,morning,learning-design,MoE funded training and facilitation,Deliver Ministry of Education funded training and strategic guidance in schools.,"I am an accredited Ministry of Education facilitator, so schools can use Ministry funding to bring me in for training and digital strategy work. Deliver those sessions myself and keep the programme to what the funding requires: genuinely useful help for the school, with the reporting side kept clean without taking over the room.",,,,
technical-implementation-new-accounts,monday,afternoon,implementation,Technical implementation update: new schools,Plan and run the technical setup that turns a signed agreement into a working platform.,"A new school signing up starts the real work. Plan the implementation sequence, agree who owns which decision on the school’s side, and make sure the technical configuration matches how the school actually intends to use the platform. Getting this right up front is the difference between a school that adopts and a school that stalls.",,,,
feature-training-design,tuesday,morning,learning-design,New feature: design the training,"Build the training that goes out with the new billable feature: video, self-paced material, workshops.","Design the training to go with the feature we are launching: short videos, self-paced material and workshop content, depending on who the audience is. Schools do not keep paying for a feature they cannot confidently use, so the training is part of the product, not an afterthought. Have it ready before the first customer hears the announcement.",,,,
customer-onboarding-sessions,tuesday,afternoon,enablement,Customer onboarding sessions,"Run onboarding across every group in a school: leadership, staff, students, parents, support staff.","Onboarding a school means onboarding everyone in it, and each group needs something different. Leadership needs to make the decisions a rollout depends on; staff need to see what will change day to day; students, parents and support staff each have their own path. Run these sessions myself. The schools where this gets done properly are the schools that renew without drama.",,,,
support-team-briefing,wednesday,morning,support,Support team briefing: the new feature,Walk the support team through the new feature and agree how we will support it.,"Before the new feature reaches customers, sit down with the support team and go through it properly: what it does, what schools are likely to ask, what can go wrong, and how we will handle each of those. Support finding out about a feature from a confused customer is a failure you can prevent with one meeting, so the support plan ships with the feature, not after it.",,,,
support-materials-updates,wednesday,afternoon,support,Support materials and resources,Keep the help material current so the same question stops arriving as a ticket.,"Design and write our support materials, then keep them honest. When the same question keeps coming through as a ticket, that is the material failing, not the customer, so rewrite the piece that did not answer it and keep everything aligned with the platform as it changes. Good support material is the cheapest support person you will ever hire.",,,,
moe-integration-tool,thursday,morning,implementation,Ministry integration tool: design and support,Design and support a tool that takes days of manual database work off every school that uses it.,"Schools are losing days of manual database work getting their student data where it needs to be. Design an integration tool that connects the platform to the Ministry of Education’s systems and does that work for them, and provide the technical support behind it. Nobody asks you to build this kind of thing. Notice the problem, build the fix, and every school that uses it gets days of their year back.",,,,
bespoke-onboarding-design,thursday,afternoon,enablement,Design a bespoke onboarding path,"Shape an onboarding plan around a particular school, rather than run a standard rollout.","No two schools adopt a platform the same way. A small rural school and a large city college need different first steps, different pacing and different training formats. Design each customer’s onboarding path around their size, their staff’s confidence and what they want the platform to do first. It is slower to prepare than a standard rollout, and much faster to succeed.",,,,
