year,title,subtitle,body
Age 7,Nobody minds being asked,"Cubs uniform fundraiser. Door to door, with a tin can.","I wanted the uniform, so I knocked on every door in the street with a tin can. Mum made me give every dollar back. The knocking I kept."
Age 11,Territory beats talent,School fundraiser. Two and a half months on a bike.,The whole school sold the same freezer bags. I covered more of Hastings than anyone else and nearly outsold the lot of them. Prize: one scientific calculator.
Age 14,Build the incentive in,"Teenage party promoter. Ten tickets sold, one free.","I worked out that other people will sell for you if there's something in it for them. Ten sold, one free ticket back. The house filled. I wasn't allowed to run it again."
15 → 20,Wages have a ceiling,"Hairdresser. Five years, three salons.",Five years and three salons taught me that the person who owns the room takes the margin. So I went looking for work where the outcome was mine to build.
18 → 22,Deliver on the night,"DJ and event producer. Sound, lights, logistics, cashflow.",A hundred and thirty nights where the show had to run whether the gear arrived or not. I financed the rig myself and spent four years staying ahead of the payments.
Age 21,Rejection is a rate,Infone. Selling advertising codes out of the phone book.,"Nothing to sell but a code in a directory. I learned to work a list, hold a script, and stop hearing no as a verdict. Top seller in the country."
1999,Sell what isn't built yet,"Event director, 2000AD. Fifteen thousand people.",I sold sponsors ten seconds of laser for thirty-six thousand dollars before a single truss went up. Then fifteen thousand people turned up and we had to deliver it.
2001 → 2004,Grow it every year,"Business Development, Tracta. Hawke's Bay Tourism.","Three years running the region's premium visitor guide, sat between the publisher, the advertisers and Hawke's Bay Tourism. Advertiser base up forty-five per cent, client database up forty."
2005 → 2008,Targets are a floor,"Account Manager, Canwest Media. Hawke's Bay.",Three and a half years carrying a monthly number across accounts of every size. Ten per cent growth year on year was the floor; my best year closed at 178 per cent of budget.
2009 → 2013,A website is a funnel,"Business Development, Xplore. Technical web strategy.","Web strategy taught me to design the path a visitor takes, not the pages they look at, and that a site nobody can search or read aloud isn't finished. Staff went five to twelve."
2013 → 2015,Fourteen sellers beat one,"National Sales & Marketing Manager, 99 Corporation. Direct marketing.","A direct marketing business with fourteen telemarketers on the phones. I built the system behind their calls, and the billing that held cash flow together. Sales revenue up 400 per cent."
2015 → 2025,Adoption is the real sale,"Sales and Marketing Manager, then General Manager. NZ and Australia.",Ten years selling a platform into schools, then training the teachers who didn't want it. The contract gets signed at the start. The value only shows up when the reluctant ones start using it.
2025 → Now,"Thirty years, new tools",Independent consultant. AI and go-to-market. Clarity Engine AI.,"Same work as always: find what a business actually needs, then build the thing that fixes it. What's changed is how much of that one person can now deliver."
