Section,Reference / screenshot,Element,Original copy,Your rewrite,Graphic change needed?,Instructions / notes
Navigation / Header,,Logo wordmark,Prolens,Replace with Clarity Engine logo,Check visually (logo mark),Replace with your brand name and confirm the logo mark/lockup.
Navigation / Header,,Nav item,About,,,Update labels and confirm each link points to the correct section or page.
Navigation / Header,,Nav item,Projects,,,Update labels and confirm each link points to the correct section or page.
Navigation / Header,,Nav item,Career,,,Update labels and confirm each link points to the correct section or page.
Navigation / Header,,Nav item,Blog,,,Update labels and confirm each link points to the correct section or page.
Navigation / Header,,Nav item,Contacts,,,Update labels and confirm each link points to the correct section or page.
Hero,Hero.png,H1,Dave Richardson,Brad Friis,Replace profile image,Replace with the correct name and confirm the portrait is appropriate.
Hero,Hero.png,Subhead,"I build businesses and help entrepreneurs grow theirs through strong strategy, practical insights, and real-world experience.",rewrite,,Rewrite to reflect your positioning and audience.
Hero,Hero.png,CTA button,Let's connect,Let's connect,,"Confirm the destination, such as the contact section or booking page."
Hero,Hero.png,Trust line,Trusted by businesses,Trusted by businesses,,Replace with a substantiated trust statement or remove it if unsupported.
Hero,Hero.png,Trust tag,Entrepreneur,Marketing & Identity,,Keep only roles that accurately describe you.
Hero,Hero.png,Trust tag,Investor,Sales Strategy,,Keep only roles that accurately describe you.
Hero,Hero.png,Trust tag,Business Partner,AI Business Consultant,,Keep only roles that accurately describe you.
Hero,Hero.png,Trust tag,Advisor,Website Strategy,,Keep only roles that accurately describe you.
Hero - new,Hero.png,Trust tag,New element,SaaS Business Consultant,,
About Me / Key skills,About me.png; Key skills categories.png,Eyebrow,About Me,,,Keep concise and consistent with navigation.
About Me / Key skills,About me.png; Key skills categories.png,H2,"Hello, I'm Dave","Hello, I'm Brad",Check visually (about photo),Replace name and confirm the about image.
About Me / Key skills,About me.png; Key skills categories.png,Intro line,Here you'll find detailed descriptions of what I do and how I can help.,Here you'll find detailed descriptions of what I do and how I can help.,,Rewrite to explain the value of this section.
About Me / Key skills,About me.png; Key skills categories.png,Card 1 title,Entrepreneur,SaaS Business Consultant,,Use a role or capability that is accurate.
About Me / Key skills,About me.png; Key skills categories.png,Card 1 body,"I build and scale businesses by assessing businesses from concept to market, transforming ideas into sustainable, value driven processes through clear strategy, strong execution, and innovation.","I work with SaaS businesses to build and scale operations from concept to market, transforming ideas into sustainable, measurable processes through clear strategy, strong execution, and innovation.",,"Replace with specific, credible description; keep card lengths reasonably balanced."
About Me / Key skills,About me.png; Key skills categories.png,Card 2 title,Investor,Marketing & Identity,,Use a role or capability that is accurate.
About Me / Key skills,About me.png; Key skills categories.png,Card 2 body,"I invest in forward-thinking founders and high-potential ventures, providing not only capital but also strategic insight and hands-on support to create lasting value.","I question business owners on who, what and why until the answer is customer-ready, then turn it into a communications strategy the whole team can use — so every customer meets the same story, wherever they meet it.",,"Replace with specific, credible description; keep card lengths reasonably balanced."
About Me / Key skills,About me.png; Key skills categories.png,Card 3 title,Advisor,AI Business Consultant,,Use a role or capability that is accurate.
